date,ticker,open,high,low,close,adj_close,volume
2023-01-03,AAPL,130.27999877929688,130.89999389648438,124.16999816894533,125.06999969482422,123.21119689941406,112117500.0
2023-01-04,AAPL,126.88999938964844,128.66000366210938,125.08000183105467,126.36000061035156,124.4820327758789,89113600.0
2023-01-05,AAPL,127.12999725341795,127.7699966430664,124.76000213623048,125.0199966430664,123.16194915771484,80962700.0
2023-01-06,AAPL,126.01000213623048,130.2899932861328,124.88999938964844,129.6199951171875,127.69354248046876,87754700.0
2023-01-09,AAPL,130.47000122070312,133.41000366210938,129.88999938964844,130.14999389648438,128.21571350097656,70790800.0
2023-01-10,AAPL,130.25999450683594,131.25999450683594,128.1199951171875,130.72999572753906,128.78709411621094,63896200.0
2023-01-11,AAPL,131.25,133.50999450683594,130.4600067138672,133.49000549316406,131.50607299804688,69458900.0
2023-01-12,AAPL,133.8800048828125,134.25999450683594,131.44000244140625,133.41000366210938,131.42726135253906,71379600.0
2023-01-13,AAPL,132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,132.75717163085938,57809700.0
2023-01-17,AAPL,134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,133.9196319580078,63646600.0
2023-01-18,AAPL,136.82000732421875,138.61000061035156,135.02999877929688,135.2100067138672,133.2005157470703,69672800.0
2023-01-19,AAPL,134.0800018310547,136.25,133.77000427246094,135.27000427246094,133.2596435546875,58280400.0
2023-01-20,AAPL,135.27999877929688,138.02000427246094,134.22000122070312,137.8699951171875,135.8209686279297,80223600.0
2023-01-23,AAPL,138.1199951171875,143.32000732421875,137.89999389648438,141.11000061035156,139.0128173828125,81760300.0
2023-01-24,AAPL,140.30999755859375,143.16000366210938,140.3000030517578,142.52999877929688,140.41172790527344,66435100.0
2023-01-25,AAPL,140.88999938964844,142.42999267578125,138.80999755859375,141.86000061035156,139.75164794921875,65799300.0
2023-01-26,AAPL,143.1699981689453,144.25,141.89999389648438,143.9600067138672,141.8204345703125,54105100.0
2023-01-27,AAPL,143.16000366210938,147.22999572753906,143.0800018310547,145.92999267578125,143.76116943359375,70555800.0
2023-01-30,AAPL,144.9600067138672,145.5500030517578,142.85000610351562,143.0,140.87472534179688,64015300.0
2023-01-31,AAPL,142.6999969482422,144.33999633789062,142.27999877929688,144.2899932861328,142.14556884765625,65874500.0
2023-02-01,AAPL,143.97000122070312,146.61000061035156,141.32000732421875,145.42999267578125,143.2686309814453,77663600.0
2023-02-02,AAPL,148.89999389648438,151.17999267578125,148.1699981689453,150.82000732421875,148.57852172851562,118339000.0
2023-02-03,AAPL,148.02999877929688,157.3800048828125,147.8300018310547,154.5,152.2038116455078,154357300.0
2023-02-06,AAPL,152.57000732421875,153.10000610351562,150.77999877929688,151.72999572753906,149.47496032714844,69858300.0
2023-02-07,AAPL,150.63999938964844,155.22999572753906,150.63999938964844,154.64999389648438,152.35153198242188,83322600.0
2023-02-08,AAPL,153.8800048828125,154.5800018310547,151.1699981689453,151.9199981689453,149.6621856689453,64120100.0
2023-02-09,AAPL,153.77999877929688,154.3300018310547,150.4199981689453,150.8699951171875,148.6277618408203,56007100.0
2023-02-10,AAPL,149.4600067138672,151.33999633789062,149.22000122070312,151.00999450683594,148.99281311035156,57450700.0
2023-02-13,AAPL,150.9499969482422,154.25999450683594,150.9199981689453,153.85000610351562,151.7948760986328,62199000.0
2023-02-14,AAPL,152.1199951171875,153.77000427246094,150.86000061035156,153.1999969482422,151.153564453125,61707600.0
2023-02-15,AAPL,153.11000061035156,155.5,152.8800048828125,155.3300018310547,153.25511169433594,65573800.0
2023-02-16,AAPL,153.50999450683594,156.3300018310547,153.35000610351562,153.7100067138672,151.65673828125,68167900.0
2023-02-17,AAPL,152.35000610351562,153.0,150.85000610351562,152.5500030517578,150.51223754882812,59144100.0
2023-02-21,AAPL,150.1999969482422,151.3000030517578,148.41000366210938,148.47999572753906,146.49661254882812,58867200.0
2023-02-22,AAPL,148.8699951171875,149.9499969482422,147.16000366210938,148.91000366210938,146.92086791992188,51011300.0
2023-02-23,AAPL,150.08999633789062,150.33999633789062,147.24000549316406,149.39999389648438,147.40432739257812,48394200.0
2023-02-24,AAPL,147.11000061035156,147.19000244140625,145.72000122070312,146.7100067138672,144.75027465820312,55469600.0
2023-02-27,AAPL,147.7100067138672,149.1699981689453,147.4499969482422,147.9199981689453,145.94410705566406,44998500.0
2023-02-28,AAPL,147.0500030517578,149.0800018310547,146.8300018310547,147.41000366210938,145.44093322753906,50547000.0
